ValueId,PolyId,AREA,PERIMETER,C_GRDC663#,C_GRDC663-ID,RECORDNAME,SYMBOLFLD,GRDC-ID,GRIDVALUE,RIVERNAME,COUNTRY,GRDC-AREA,STARTMONTH,STARTYEAR,ENDMONTH,ENDYEAR,TIMESERIES,PERCENTRECORD,CELLID,BASINID,BASINNAME,ORDER,NUMBEROFCELLS,STNMAINSTEMLENGT,STNCATCHMENTAREA,STNINTERSTATIONA,NEXTSTATION,INTERSTNA,MEANQ,MINQ,MAXQ,INTERSTNQ,RUNOFF,STNRUNOFF,INTERSTNRO,STNINTERSTNRO,WBMINTERSTNRUNOF,WMINTERSTNPRECIP,CORRECTIONCOEF,WBMRUNOFF,X-COORD,Y-COORD
"1","0",0.000,0.000,"1","1",Gourbassy,Monthly,"1112200","1",Faleme,MI,15000.0,"4","1954","12","1990",M,0.7,"23703","29",Senegal,"2","5",244.3,15092.4,15092.4,"119",15000.0,117.4,0.0,1250.0,117.4,246.8,245.3,246.8,245.3,554.72,1252.94,0.4,554.72,-11.250,13.250
"2","0",0.000,0.000,"2","2",Galougo,Monthly,"1112300","2",Senegal,MI,127000.0,"5","1905","12","1990",M,35.3,"23642","29",Senegal,"3","40",561.0,120332.2,71990.1,"118",78000.0,510.0,0.0,3980.0,101.9,126.6,133.6,41.2,44.6,211.94,889.12,0.2,324.18,-11.250,14.250
"3","0",0.000,0.000,"3","3",Oualia,Monthly,"1112320","3",Bakoye,MI,84400.0,"5","1951","12","1990",M,29.8,"40553","202",Gambia,"3","24",744.9,72189.8,27017.5,"0",42400.0,141.0,0.0,1382.0,-8.5,52.7,61.6,-6.3,-9.9,187.53,934.24,1.0,396.58,-16.250,13.750
"4","0",0.000,0.000,"4","4",Toukoto,Monthly,"1112340","4",Bakoye,MI,16000.0,"5","1952","12","1990",M,42.1,"23691","29",Senegal,"2","6",288.6,18107.4,18107.4,"2",16000.0,75.7,0.0,693.0,75.7,149.2,131.9,149.2,131.9,376.55,1118.46,0.4,376.55,-9.750,13.250
"5","0",0.000,0.000,"5","5",Dibia,Monthly,"1112350","5",Bafing,MI,33000.0,"5","1951","12","1990",M,21.0,"23676","29",Senegal,"2","10",399.0,30234.7,30234.7,"2",33000.0,332.3,0.0,2529.0,332.3,317.6,346.6,317.6,346.6,560.05,1356.58,0.6,560.05,-10.750,13.250
"6","0",0.000,0.000,"6","6",Selingue,Monthly,"1134050","6",Sankarani,MI,34200.0,"7","1964","12","1990",M,5.6,"13044","10",Niger,"2","11",355.9,33495.9,33495.9,"7",34200.0,286.2,14.0,1800.0,286.2,263.9,269.5,263.9,269.5,626.80,1676.22,0.4,626.80,-8.250,11.250
"7","0",0.000,0.000,"7","7",Koulikoro,Monthly,"1134100","7",Niger,MI,120000.0,"1","1907","12","1990",M,0.0,"12984","10",Niger,"3","40",631.2,121466.4,18095.5,"11",15800.0,1407.3,4.0,8420.0,23.4,369.8,365.4,46.7,40.8,233.82,987.27,0.2,599.23,-7.250,13.250
"8","0",0.000,0.000,"8","8",Bougouni,Monthly,"1134110","8",Baoule,MI,15700.0,"5","1956","12","1992",M,30.6,"13118","10",Niger,"2","5",244.6,15194.5,15194.5,"9",15700.0,101.3,0.0,759.0,101.3,203.5,210.3,203.5,210.3,581.65,1461.05,0.4,581.65,-7.750,11.250
"9","0",0.000,0.000,"9","9",Dioila,Monthly,"1134200","9",Baoule,MI,32500.0,"6","1953","12","1990",M,9.2,"13047","10",Niger,"2","11",455.6,33336.3,18141.8,"12",16800.0,143.4,0.0,1440.0,42.1,139.2,135.7,79.0,73.1,314.28,1105.16,0.2,436.15,-6.750,12.750
"10","0",0.000,0.000,"10","10",Pankourou,Monthly,"1134220","10",Bagoe,MI,31800.0,"6","1956","12","1992",M,4.3,"13045","10",Niger,"2","11",322.7,33430.1,33430.1,"12",31800.0,169.8,0.0,1830.0,169.8,168.3,160.1,168.3,160.1,537.08,1473.73,0.3,537.08,-6.250,11.750
